#size(cm)    nu(1/s)      Qabs         Qsca         g(cos)
1.585000e-07 1.891435e+13 6.007000e-04 1.064000e-13 0.000000e+00
1.585000e-07 2.003960e+13 5.095000e-04 1.320000e-13 0.000000e+00
1.585000e-07 2.121673e+13 4.588000e-04 1.895000e-13 0.000000e+00
1.585000e-07 2.247319e+13 5.482000e-04 2.922000e-13 0.000000e+00
1.585000e-07 2.381195e+13 7.239000e-04 4.210000e-13 0.000000e+00
1.585000e-07 2.521382e+13 9.619000e-04 5.808000e-13 0.000000e+00
1.585000e-07 2.671946e+13 1.250000e-03 7.693000e-13 0.000000e+00
1.585000e-07 2.830902e+13 1.651000e-03 1.015000e-12 0.000000e+00
1.585000e-07 2.997924e+13 2.005000e-03 1.133000e-12 0.000000e+00
1.585000e-07 3.175431e+13 1.723000e-03 1.021000e-12 3.340000e-07
1.585000e-07 3.363541e+13 1.427000e-03 5.543000e-13 3.750000e-07
1.585000e-07 3.563018e+13 9.918000e-04 3.020000e-13 4.200000e-07
1.585000e-07 3.774297e+13 4.743000e-04 1.604000e-13 4.710000e-07
1.585000e-07 3.997765e+13 2.093000e-04 3.703000e-13 5.290000e-07
1.585000e-07 4.234956e+13 1.643000e-04 7.822000e-13 5.940000e-07
1.585000e-07 4.485897e+13 1.627000e-04 1.278000e-12 6.660000e-07
1.585000e-07 4.751068e+13 1.619000e-04 1.884000e-12 7.470000e-07
1.585000e-07 5.032607e+13 1.584000e-04 2.655000e-12 8.380000e-07
1.585000e-07 5.331538e+13 1.560000e-04 3.644000e-12 9.410000e-07
1.585000e-07 5.646873e+13 1.646000e-04 3.648000e-12 7.240000e-07
1.585000e-07 5.981493e+13 1.667000e-04 4.806000e-12 8.190000e-07
1.585000e-07 6.335426e+13 1.708000e-04 6.270000e-12 9.250000e-07
1.585000e-07 6.711269e+13 1.762000e-04 8.126000e-12 1.040000e-06
1.585000e-07 7.109139e+13 1.828000e-04 1.047000e-11 1.180000e-06
1.585000e-07 7.530580e+13 1.894000e-04 1.343000e-11 1.320000e-06
1.585000e-07 7.977446e+13 1.961000e-04 1.717000e-11 1.490000e-06
1.585000e-07 8.449617e+13 2.032000e-04 2.189000e-11 1.680000e-06
1.585000e-07 8.949028e+13 2.104000e-04 2.783000e-11 1.890000e-06
1.585000e-07 9.481102e+13 2.169000e-04 3.535000e-11 2.120000e-06
1.585000e-07 1.004330e+14 2.242000e-04 4.485000e-11 2.380000e-06
1.585000e-07 1.063848e+14 2.323000e-04 5.685000e-11 2.680000e-06
1.585000e-07 1.126616e+14 2.411000e-04 7.199000e-11 3.010000e-06
1.585000e-07 1.193441e+14 2.505000e-04 9.106000e-11 3.380000e-06
