READ SERR 1
@dist_0.pco
!
0.927912891 5.34143671E-3 0.999904037
0.938657582 5.40328771E-3 0.999906838
0.949526727 5.46585489E-3 0.99990958
0.960521758 5.52914664E-3 0.999912262
0.971644044 5.59317088E-3 0.999914825
0.982895136 5.65793691E-3 0.999917328
0.994276524 5.72345266E-3 0.999919772
1.00578976 5.78972697E-3 0.999922156
1.01743627 5.85676916E-3 0.999924481
1.0292176 5.92458714E-3 0.999926686
1.04113531 5.99319069E-3 0.999928832
1.05319118 6.06258865E-3 0.999930978
1.06538653 6.13278989E-3 0.999933064
1.07772315 6.20380417E-3 0.999934971
1.09020257 6.27564127E-3 0.999936879
1.10282648 6.34830957E-3 0.999938786
1.11559665 6.42181933E-3 0.999940634
1.12851465 6.49618078E-3 0.999942422
1.14158225 6.57140277E-3 0.99994415
1.15480113 6.64749602E-3 0.999945819
1.16817307 6.72447076E-3 0.999947488
1.18169987 6.80233631E-3 0.999949098
1.19538331 6.88110339E-3 0.999950647
1.20922518 6.96078315E-3 0.999952137
1.22322738 7.04138493E-3 0.999953628
1.23739171 7.12292036E-3 0.999954998
1.25172007 7.20540015E-3 0.999956429
1.26621425 7.28883455E-3 0.99995774
1.28087628 7.37323519E-3 0.999959052
1.29570818 7.45861325E-3 0.999960303
1.31071174 7.54497992E-3 0.999960363
1.32588911 7.63234682E-3 0.999960423
1.34124219 7.72072515E-3 0.999961674
1.35677302 7.81012699E-3 0.999962807
1.37248373 7.900564E-3 0.999963999
1.38837636 7.99204782E-3 0.999965072
1.40445292 8.08459148E-3 0.999966145
1.42071581 8.17820709E-3 0.999967217
1.43716681 8.27290583E-3 0.999968231
1.45380843 8.36870167E-3 0.999969184
1.47064281 8.46560672E-3 0.999970138
1.48767197 8.56363401E-3 0.999971092
1.50489843 8.66279658E-3 0.999971986
1.52232432 8.76310654E-3 0.99997288
1.53995204 8.86457879E-3 0.999973714
1.55778384 8.96722544E-3 0.999974549
1.57582211 9.07106139E-3 0.999975264
1.59406924 9.17609874E-3 0.99997592
1.61252773 9.28235333E-3 0.999976695
1.63119996 9.3898382E-3 0.99997741
1.65008831 9.49856732E-3 0.999978125
1.66919541 9.60855559E-3 0.99997884
1.68852389 9.71981697E-3 0.999979496
1.708076 9.8323673E-3 0.999980152
1.72785461 9.94622055E-3 0.999980748
1.74786222 1.00613926E-2 0.999981344
1.76810145 1.01778982E-2 0.99998194
1.78857517 1.02957524E-2 0.999982536
1.80928588 1.0414972E-2 0.999983072
1.83023643 1.05355717E-2 0.999983609
1.85142958 1.06575675E-2 0.99998343
1.87286806 1.07809762E-2 0.999983191
1.89455485 1.09058144E-2 0.999983728
1.91649282 1.1032098E-2 0.999984264
1.9386847 1.11598428E-2 0.999984741
1.96113372 1.12890685E-2 0.999985218
1.98384249 1.14197899E-2 0.999985695
2.00681424 1.15520246E-2 0.999986112
2.03005219 1.16857905E-2 0.999986529
2.05355906 1.18211051E-2 0.999987006
2.07733822 1.19579872E-2 0.999987364
2.10139251 1.20964544E-2 0.999987781
2.12572551 1.22365244E-2 0.999988198
2.15034032 1.23782167E-2 0.999988556
2.17524004 1.25215501E-2 0.999988914
2.20042825 1.2666543E-2 0.999989271
2.22590804 1.28132142E-2 0.999989629
2.25168276 1.29615841E-2 0.999989927
2.27775598 1.31116724E-2 0.999990225
2.30413127 1.32634984E-2 0.999990582
2.33081174 1.34170828E-2 0.99999088
2.3578012 1.35724451E-2 0.999991179
2.38510323 1.37296068E-2 0.999991417
2.4127214 1.38885882E-2 0.999991715
2.44065952 1.40494099E-2 0.999991953
2.46892095 1.42120952E-2 0.999992013
2.49750972 1.43766627E-2 0.999992013
2.52642965 1.45431366E-2 0.999992251
2.55568433 1.47115383E-2 0.99999249
2.58527756 1.48818903E-2 0.999992728
2.61521387 1.50542147E-2 0.999992967
2.64549661 1.52285341E-2 0.999993205
2.67612982 1.54048717E-2 0.999993384
2.70711803 1.55832525E-2 0.999993622
2.73846507 1.57636981E-2 0.999993801
2.77017498 1.59462318E-2 0.99999404
2.80225205 1.61308814E-2 0.999994218
2.83470058 1.63176674E-2 0.999994397
2.86752486 1.65066179E-2 0.999994576
2.90072918 1.66977551E-2 0.999994755
2.93431807 1.6891107E-2 0.999994874
2.96829581 1.70866959E-2 0.999995053
3.00266719 1.72845516E-2 0.999995232
3.03743649 1.74846966E-2 0.999995351
3.07260823 1.76871605E-2 0.99999553
3.10818744 1.78919677E-2 0.999995649
3.14417863 1.8099146E-2 0.999995828
3.18058634 1.83087252E-2 0.999995947
3.21741581 1.85207296E-2 0.999996006
3.25467181 1.8735189E-2 0.999996126
3.29235911 1.89521331E-2 0.999996245
3.33048272 1.91715881E-2 0.999996364
3.36904788 1.93935856E-2 0.999996483
3.4080596 1.96181517E-2 0.999996603
3.44752312 1.98453199E-2 0.999996722
3.48744369 2.00751182E-2 0.999996841
3.52782631 2.03075763E-2 0.999996901
3.56867671 2.05427278E-2 0.99999702
3.6099999 2.07806006E-2 0.999997139
3.65180182 2.10212283E-2 0.999997199
3.69408774 2.12646425E-2 0.999997318
3.73686314 2.15108767E-2 0.999997377
3.78013396 2.17599608E-2 0.999997437
3.82390594 2.20119283E-2 0.999997556
3.86818457 2.22668145E-2 0.999997616
3.91297603 2.2524653E-2 0.999997675
3.95828629 2.27854755E-2 0.999997795
4.00412083 2.30493192E-2 0.999997854
4.05048656 2.33162176E-2 0.999997914
4.09738922 2.35862061E-2 0.999997973
4.14483452 2.38593221E-2 0.999998033
4.19282961 2.41355989E-2 0.999998093
4.24138021 2.44150776E-2 0.999998152
4.29049301 2.46977899E-2 0.999998212
4.34017467 2.49837767E-2 0.999998271
4.3904314 2.52730753E-2 0.999998331
4.44127035 2.55657248E-2 0.999998391
4.49269772 2.58617606E-2 0.99999845
4.54472065 2.61612255E-2 0.99999845
4.59734583 2.64641587E-2 0.99999851
4.65058088 2.67705992E-2 0.999998569
4.70443201 2.7080588E-2 0.999998629
4.75890684 2.73941662E-2 0.999998689
4.81401253 2.77113765E-2 0.999998689
4.86975574 2.80322582E-2 0.999998748
4.92614508 2.83568576E-2 0.999998808
4.9831872 2.8685214E-2 0.999998808
5.04088974 2.90173739E-2 0.999998868
5.09926033 2.93533783E-2 0.999998927
5.15830708 2.96932738E-2 0.999998927
5.21803761 3.00371069E-2 0.999998987
5.27845955 3.03849205E-2 0.999998987
5.33958101 3.07367612E-2 0.999999046
5.40141058 3.10926754E-2 0.999999046
5.46395588 3.14527117E-2 0.999999106
5.52722549 3.18169184E-2 0.999999106
5.59122801 3.21853384E-2 0.999999166
5.65597105 3.25580277E-2 0.999999166
5.72146416 3.29350308E-2 0.999999225
5.78771591 3.33164036E-2 0.999999225
5.85473442 3.37021872E-2 0.999999285
5.92252922 3.40924412E-2 0.999999285
5.99110842 3.44872139E-2 0.999999285
6.0604825 3.48865576E-2 0.999999344
6.13065958 3.52905244E-2 0.999999344
6.20164919 3.56991664E-2 0.999999404
6.27346087 3.61125432E-2 0.999999404
6.34610415 3.6530707E-2 0.999999404
6.41958857 3.69537137E-2 0.999999464
6.49392414 3.73816192E-2 0.999999464
6.56911993 3.78144756E-2 0.999999464
6.6451869 3.82523462E-2 0.999999464
6.72213459 3.86952907E-2 0.999999523
6.79997301 3.91433612E-2 0.999999523
6.87871313 3.95966172E-2 0.999999523
6.95836496 4.0055126E-2 0.999999583
7.038939 4.05189432E-2 0.999999583
7.12044621 4.09881286E-2 0.999999344
7.20289707 4.14627492E-2 0.999999106
7.28630257 4.19428647E-2 0.999999166
7.37067366 4.24285419E-2 0.999999166
7.45602226 4.29198407E-2 0.999999225
7.54235888 4.34168279E-2 0.999999225
7.62969542 4.39195707E-2 0.999999225
7.71804285 4.44281362E-2 0.999999285
7.80741358 4.49425913E-2 0.999999285
7.89781952 4.54629995E-2 0.999999344
7.98927164 4.59894389E-2 0.999999344
8.08178329 4.65219691E-2 0.999999344
8.17536545 4.70606685E-2 0.999999404
8.27003193 4.76056039E-2 0.999999404
8.36579418 4.81568538E-2 0.999999404
8.46266556 4.87144813E-2 0.999999404
8.56065941 4.92785685E-2 0.999999464
8.65978718 4.98491898E-2 0.999999464
8.76006222 5.04264161E-2 0.999999464
8.86149883 5.10103256E-2 0.999999464
8.96411037 5.16009964E-2 0.999999523
9.06791019 5.21985069E-2 0.999999523
9.17291164 5.2802939E-2 0.999999523
9.27912903 5.34143671E-2 0.999999523
9.3865757 5.40328771E-2 0.999999583
9.49526691 5.4658547E-2 0.999999583
9.60521698 5.52914664E-2 0.999999583
9.7164402 5.59317097E-2 0.999999583
9.82895184 5.65793701E-2 0.999999642
9.94276524 5.72345257E-2 0.999999642
10.0578976 5.78972697E-2 0.999999642
10.1743622 5.85676916E-2 0.999999642
10.2921762 5.92458732E-2 0.999999642
10.4113531 5.99319078E-2 0.999999702
10.5319109 6.06258847E-2 0.999999702
10.6538649 6.13279007E-2 0.999999702
10.7772312 6.20380454E-2 0.999999702
10.9020252 6.27564117E-2 0.999999702
11.028265 6.34830967E-2 0.999999702
11.1559668 6.42181933E-2 0.999999702
11.2851467 6.49618059E-2 0.999999762
11.415822 6.57140315E-2 0.999999762
11.5480108 6.64749593E-2 0.999999762
11.6817312 6.72447085E-2 0.999999762
11.8169985 6.80233613E-2 0.999999762
11.9538336 6.88110366E-2 0.999999762
12.0922518 6.96078315E-2 0.999999762
12.2322741 7.04138502E-2 0.999999821
12.3739166 7.12292045E-2 0.999999821
12.5172005 7.20539987E-2 0.999999821
12.6621428 7.28883445E-2 0.999999821
12.8087635 7.37323537E-2 0.999999821
12.9570818 7.45861307E-2 0.999999821
13.1071177 7.5449802E-2 0.999999821
13.2588911 7.63234645E-2 0.999999821
13.4124212 7.72072524E-2 0.999999821
13.5677299 7.81012699E-2 0.999999821
13.7248373 7.90056437E-2 0.999999821
13.8837633 7.99204856E-2 0.999999881
14.0445299 8.08459148E-2 0.999999881
14.2071571 8.17820728E-2 0.999999881
14.3716688 8.27290639E-2 0.999999881
14.538085 8.36870149E-2 0.999999881
14.7064276 8.46560672E-2 0.999999881
