READ SERR 1
@nh_3.pco
!
70.2615662 1.07847023 0.99997443
72.4521332 1.11209393 0.999976695
74.7109909 1.14676607 0.999978781
77.0402756 1.18251908 0.999980628
79.4421844 1.21938682 0.999982357
81.9189758 1.25740397 0.999983907
84.4729843 1.29660642 0.999985337
87.1066208 1.33703101 0.999986589
89.8223648 1.37871599 0.999987781
92.6227875 1.4217006 0.999988854
95.5105133 1.46602535 0.999989867
98.488266 1.5117321 0.999990761
101.558861 1.55886376 0.999991536
104.725189 1.60746491 1
107.990242 1.65758121 1
111.357079 1.70926011 1
114.828888 1.76255012 1
118.408943 1.81750166 1
122.100609 1.87416637 1
125.907372 1.93259788 1
129.832825 1.9928509 1
133.880661 2.05498266 1
138.054688 2.11905146 1
142.358856 2.18511772 1
146.797226 2.25324368 1
151.373962 2.32349372 1
156.093384 2.39593387 1
160.959946 2.47063255 1
165.978241 2.54766011 1
171.153 2.62708926 1
176.489075 2.70899463 1
181.991531 2.79345369 1
187.665527 2.88054609 1
193.516418 2.9703536 1
199.549744 3.0629611 1
205.771164 3.15845585 1
212.186539 3.25692797 1
218.801941 3.3584702 1
225.623581 3.46317816 1
