E + GRAIN0 -> GRAIN-
H+ + C2H4 -> C2H3+ + H2
H+ + C2H4 -> C2H4+ + H
H+ + C3H3 -> C3H2+ + H2
H+ + C3H3 -> H2C3+ + H2
H+ + C3H3 -> C3H3+ + H
H+ + C3H3 -> H3C3+ + H
H+ + C4H2 -> C4H+ + H2
H+ + C4H2 -> C4H2+ + H
H+ + C5H -> C5+ + H2
H+ + C5H -> C5H+ + H
H+ + C6 -> C6+ + H
H+ + CH3OH -> H3CO+ + H2
H+ + CH3OH -> CH4O+ + H
H+ + NH2CHO -> NH4+ + CO
H+ + NH2CHO -> HCO+ + NH3
H+ + NH2CHO -> H2NC+ + H2O
H+ + NH2CHO -> NH2+ + H2CO
H+ + C2H4O -> C2H3O+ + H2
H+ + C2H4O -> C2H4O+ + H
H+ + C2H5 -> C2H4+ + H2
H+ + C2H5 -> C2H5+ + H
H+ + C3H3N -> C3H2N+ + H2
H+ + C3H3N -> C3H3N+ + H
H+ + C3H4 -> C3H3+ + H2
H+ + C3H4 -> H3C3+ + H2
H+ + C3H4 -> C3H4+ + H
H+ + C4H3 -> C4H3+ + H
H+ + C4H3 -> C4H2+ + H2
H+ + C5H2 -> C5H+ + H2
H+ + C5H2 -> C5H2+ + H
H+ + C6H -> C6+ + H2
H+ + C6H -> C6H+ + H
H+ + C7 -> C7+ + H
H+ + CH5N -> CH4N+ + H2
H+ + CH5N -> CH5N+ + H
H+ + HC5N -> C5HN+ + H
H+ + C6H2 -> C6H+ + H2
H+ + C6H2 -> C6H2+ + H
H+ + C7H -> C7+ + H2
H+ + C7H -> C7H+ + H
H+ + C8 -> C8+ + H
H+ + CH3C3N -> CH3+ + HC3N
H+ + HCOOCH3 -> COOCH4+ + H
H+ + C2H5OH -> C2H5O+ + H2
H+ + C2H5OH -> C2H5OH+ + H
H+ + C7H2 -> C7H+ + H2
H+ + C7H2 -> C7H2+ + H
H+ + C8H -> C8+ + H2
H+ + C8H -> C8H+ + H
H+ + C9 -> C9+ + H
H+ + CH3C4H -> C5H3+ + H2
H+ + CH3C4H -> C5H4+ + H
H+ + CH3OCH3 -> C2H5O+ + H2
H+ + CH3OCH3 -> CH3OCH3+ + H
H+ + HC7N -> C7HN+ + H
H+ + C2H6CO -> C2H6CO+ + H
H+ + C8H2 -> C8H+ + H2
H+ + C8H2 -> C8H2+ + H
H+ + C9H -> C9+ + H2
H+ + C9H -> C9H+ + H
H+ + CH3C5N -> CH3+ + HC5N
H+ + C9H2 -> C9H+ + H2
H+ + C9H2 -> C9H2+ + H
H+ + CH3C6H -> C7H3+ + H2
H+ + CH3C6H -> C7H4+ + H
H+ + CH3C7N -> CH3+ + HC7N
H+ + HC9N -> C9HN+ + H
HE+ + H -> H+ + HE
HE+ + P -> P+ + HE
HE+ + SI -> SI+ + HE
HE+ + C2 -> C+ + C + HE
HE+ + C2 -> C2+ + HE
HE+ + CCL -> C+ + CL + HE
HE+ + CH -> C+ + H + HE
HE+ + CH -> CH+ + HE
HE+ + CLO -> CL+ + O + HE
HE+ + CN -> C+ + N + HE
HE+ + CN -> N+ + C + HE
HE+ + CO -> C+ + O + HE
HE+ + CP -> C+ + P + HE
HE+ + CP -> P+ + C + HE
HE+ + CS -> C+ + S + HE
HE+ + CS -> S+ + C + HE
HE+ + H2 -> H+ + H + HE
HE+ + H2 -> H2+ + HE
HE+ + HCL -> CL+ + H + HE
HE+ + HF -> F+ + H + HE
HE+ + HS -> S+ + H + HE
HE+ + MGH -> MG+ + H + HE
HE+ + N2 -> N+ + N + HE
HE+ + N2 -> N2+ + HE
HE+ + NAH -> NA+ + H + HE
HE+ + NH -> N+ + H + HE
HE+ + NO -> N+ + O + HE
HE+ + NO -> O+ + N + HE
HE+ + NS -> N+ + S + HE
HE+ + NS -> S+ + N + HE
HE+ + O2 -> O+ + O + HE
HE+ + O2 -> O2+ + HE
HE+ + OH -> O+ + H + HE
HE+ + PH -> P+ + H + HE
HE+ + PN -> P+ + N + HE
HE+ + PO -> P+ + O + HE
HE+ + S2 -> S+ + S + HE
HE+ + SIC -> C+ + SI + HE
HE+ + SIC -> SI+ + C + HE
HE+ + SIH -> SI+ + H + HE
HE+ + SIN -> SI+ + N + HE
HE+ + SIO -> O+ + SI + HE
HE+ + SIO -> SI+ + O + HE
HE+ + SIS -> S+ + SI + HE
HE+ + SIS -> SI+ + S + HE
HE+ + SO -> O+ + S + HE
HE+ + SO -> S+ + O + HE
HE+ + C2H -> C+ + CH + HE
HE+ + C2H -> C2+ + H + HE
HE+ + C2H -> CH+ + C + HE
HE+ + C2N -> C+ + CN + HE
HE+ + C2S -> C+ + CS + HE
HE+ + C2S -> S+ + C2 + HE
HE+ + C2S -> C2+ + S + HE
HE+ + C2S -> CS+ + C + HE
HE+ + C3 -> C+ + C2 + HE
HE+ + C3 -> C2+ + C + HE
HE+ + CCO -> C+ + CO + HE
HE+ + CCP -> C+ + CP + HE
HE+ + CCP -> P+ + C2 + HE
HE+ + CH2 -> C+ + H2 + HE
HE+ + CH2 -> CH+ + H + HE
HE+ + CO2 -> C+ + O2 + HE
HE+ + CO2 -> O+ + CO + HE
HE+ + CO2 -> CO+ + O + HE
HE+ + CO2 -> O2+ + C + HE
HE+ + CO2 -> CO2+ + HE
HE+ + H2O -> H+ + OH + HE
HE+ + H2O -> OH+ + H + HE
HE+ + H2O -> H2O+ + HE
HE+ + H2S -> S+ + H2 + HE
HE+ + H2S -> HS+ + H + HE
HE+ + H2S -> H2S+ + HE
HE+ + HCN -> C+ + N + H + HE
HE+ + HCN -> N+ + CH + HE
HE+ + HCN -> CH+ + N + HE
HE+ + HCN -> CN+ + H + HE
HE+ + HCO -> CH+ + O + HE
HE+ + HCO -> CO+ + H + HE
HE+ + HCO -> HEH+ + CO
HE+ + HCP -> C+ + PH + HE
HE+ + HCP -> P+ + CH + HE
HE+ + HCS -> H+ + CS + HE
HE+ + HCS -> CS+ + H + HE
HE+ + HCSI -> SI+ + CH + HE
HE+ + HCSI -> SIC+ + H + HE
HE+ + HNC -> C+ + N + H + HE
HE+ + HNC -> CN+ + H + HE
HE+ + HNC -> NH+ + C + HE
HE+ + HNO -> H+ + NO + HE
HE+ + HNO -> NO+ + H + HE
HE+ + HNSI -> SIN+ + H + HE
HE+ + HPO -> PH+ + O + HE
HE+ + HPO -> PO+ + H + HE
HE+ + HS2 -> S+ + HS + HE
HE+ + HS2 -> S2+ + H + HE
HE+ + N2O -> N+ + NO + HE
HE+ + N2O -> O+ + N2 + HE
HE+ + N2O -> N2+ + O + HE
HE+ + N2O -> NO+ + N + HE
HE+ + NAOH -> NA+ + OH + HE
HE+ + NH2 -> N+ + H2 + HE
HE+ + NH2 -> NH+ + H + HE
HE+ + OCN -> O+ + CN + HE
HE+ + OCN -> CN+ + O + HE
HE+ + OCS -> O+ + CS + HE
HE+ + OCS -> S+ + CO + HE
HE+ + OCS -> CO+ + S + HE
HE+ + OCS -> CS+ + O + HE
HE+ + PH2 -> P+ + H2 + HE
HE+ + SIC2 -> SI+ + C2 + HE
HE+ + SIH2 -> SI+ + H2 + HE
HE+ + SIH2 -> SIH+ + H + HE
HE+ + SINC -> CN+ + SI + HE
HE+ + SIO2 -> SI+ + O2 + HE
HE+ + SO2 -> S+ + O2 + HE
HE+ + SO2 -> O2+ + S + HE
HE+ + SO2 -> SO+ + O + HE
HE+ + SO2 -> SO2+ + HE
HE+ + C2H2 -> C2+ + H2 + HE
HE+ + C2H2 -> CH+ + CH + HE
HE+ + C2H2 -> C2H+ + H + HE
HE+ + C2H2 -> C2H2+ + HE
HE+ + C3H -> C3+ + H + HE
HE+ + HC3 -> C3+ + H + HE
HE+ + C3N -> C2+ + CN + HE
HE+ + C3N -> C3N+ + HE
HE+ + C3O -> C2+ + CO + HE
HE+ + C3O -> C3+ + O + HE
HE+ + C3P -> P+ + C3 + HE
HE+ + C3P -> C3+ + P + HE
HE+ + C3S -> C2+ + CS + HE
HE+ + C3S -> CS+ + C2 + HE
HE+ + C4 -> C+ + C3 + HE
HE+ + C4 -> C2+ + C2 + HE
HE+ + C4 -> C3+ + C + HE
HE+ + CH3 -> CH+ + H2 + HE
HE+ + CH3 -> CH2+ + H + HE
HE+ + H2CO -> CO+ + H2 + HE
HE+ + H2CO -> HCO+ + H + HE
