#size(cm)    nu(1/s)      Qabs         Qsca         g(cos)       
1.585000e-07 2.003960e+13 1.073000e-04 3.912000e-13 0.000000e+00 
1.585000e-07 2.121673e+13 1.085000e-04 4.926000e-13 0.000000e+00 
1.585000e-07 2.247320e+13 1.108000e-04 6.204000e-13 0.000000e+00 
1.585000e-07 2.381195e+13 1.141000e-04 7.813000e-13 0.000000e+00 
1.585000e-07 2.521383e+13 1.176000e-04 9.853000e-13 0.000000e+00 
1.585000e-07 2.671947e+13 1.249000e-04 1.234000e-12 0.000000e+00 
1.585000e-07 2.830901e+13 1.300000e-04 1.558000e-12 0.000000e+00 
1.585000e-07 2.997925e+13 1.380000e-04 1.961000e-12 0.000000e+00 
1.585000e-07 3.175431e+13 1.471000e-04 2.469000e-12 5.380000e-07 
1.585000e-07 3.363542e+13 1.581000e-04 3.107000e-12 6.100000e-07 
1.585000e-07 3.563019e+13 1.708000e-04 3.910000e-12 6.930000e-07 
1.585000e-07 3.774298e+13 1.851000e-04 4.918000e-12 7.890000e-07 
1.585000e-07 3.997766e+13 2.007000e-04 6.184000e-12 8.990000e-07 
1.585000e-07 4.234955e+13 2.184000e-04 7.777000e-12 1.010000e-06 
1.585000e-07 4.485896e+13 2.383000e-04 9.778000e-12 1.130000e-06 
1.585000e-07 4.751069e+13 2.568000e-04 1.229000e-11 1.310000e-06 
1.585000e-07 5.032608e+13 2.852000e-04 1.545000e-11 1.410000e-06 
1.585000e-07 5.331539e+13 3.125000e-04 1.941000e-11 1.580000e-06 
1.585000e-07 5.646872e+13 3.428000e-04 2.438000e-11 1.760000e-06 
1.585000e-07 5.981494e+13 3.758000e-04 3.060000e-11 1.970000e-06 
1.585000e-07 6.335428e+13 4.111000e-04 3.843000e-11 2.190000e-06 
1.585000e-07 6.711271e+13 4.499000e-04 4.824000e-11 2.440000e-06 
1.585000e-07 7.109141e+13 4.926000e-04 6.055000e-11 2.720000e-06 
